event_id,campaign_id,lead_id,event_type,event_date,channel,subscription_id
b76dc48f-b220-4f8c-a637-f764cf81ac90,74,5947,click,2021-12-10 09:13:52.981412,paid search,
2f0f54cf-a351-4617-b6d3-25a1bbcb54f8,12,3132,click,2023-12-01 20:50:06.162123,referral,
986d176f-d5a9-4401-8af1-49b810c8118a,99,6348,click,2023-09-29 00:35:42.149639,social media,
3e642387-9d7b-47aa-b834-9abd0a340475,27,5790,click,2022-02-07 04:50:24.552271,social media,
a32597e2-f4d4-468f-b342-fbca09970e39,17,2252,click,2020-01-22 02:19:21.074351,referral,
beda5a2b-df29-4bb3-adab-f2d8f867e8fa,22,4116,click,2013-11-26 04:08:58.118464,paid search,
95f21858-f50e-4465-9fc3-422e30cbc7a3,3,1618,click,2013-03-13 19:35:05.930747,paid search,
a7d4be4d-157d-4388-9d73-a677e65e16bf,9,4764,click,2019-09-20 01:00:10.418448,social media,
15f13773-765a-415d-bc54-5c450d9e16e5,4,5555,click,2019-02-05 20:41:03.421356,paid search,
bc87246b-6f75-4d94-abf2-05c73fb8c32e,35,7194,click,2013-11-08 19:14:45.094185,paid search,
abed9ea8-ff7d-48da-b338-83be87ca3908,30,2386,click,2017-08-07 03:05:12.309778,referral,
5ac614e7-4ad2-4d6c-863a-5b095726d672,90,4830,click,2018-03-15 18:03:15.525727,paid search,
ce075d89-81ca-415e-877d-d8fc2a587c6d,18,4929,click,2017-01-08 21:12:51.682927,paid search,
6648faf9-f1ef-46d1-af9f-ad0a27ea0ea7,80,7737,click,2013-08-04 10:39:51.050634,paid search,
f9efbd4b-6f7b-405a-afc0-e03dbc2bf035,81,2620,click,2017-12-07 17:54:15.180634,social media,
45af56fd-9342-4d5c-9866-5523152a2b5d,98,2794,click,2018-04-28 23:47:43.031118,paid search,
d1167bd4-2418-4409-8330-7e3442c332a8,57,5787,click,2019-10-12 22:48:30.058892,social media,
3fcd5238-cfad-4f05-83f0-7027f03e0d1a,75,3876,click,2016-06-17 03:10:26.034409,paid search,
5f4bb596-befa-444d-9c7d-d3e0bd90dc32,57,2889,click,2019-10-12 01:53:58.667135,social media,
82e4eff1-8977-4694-a04e-9f25b787abd6,53,5098,click,2013-08-10 21:22:18.515846,social media,
88b4f91d-c3e8-420f-9da7-d3bdf1e0ebfd,26,4827,click,2015-06-27 02:28:50.428342,referral,
3eb2b682-56ef-40cf-a427-7bd5e465fc1f,58,1407,click,2014-02-17 06:09:04.132182,paid search,
3992ea3e-b9b0-4fbe-83b4-7d385b2fa10b,30,642,click,2017-08-11 06:04:28.725961,referral,
30941e2d-f5a2-43d2-94a4-356c290f8c91,93,3011,click,2014-06-24 23:07:32.733379,paid search,
48635112-6c3e-40a9-9b18-3cc49a0fa347,71,7102,click,2015-11-01 21:20:23.249155,referral,
5a40bfac-6a24-4487-8291-48fd8dc5d0f8,77,1137,click,2024-07-22 23:18:44.346354,referral,
942b030a-239b-4fde-89cf-87149e91b785,88,2262,click,2013-10-25 10:30:30.095376,paid search,
682084a4-53a9-4e54-ab80-78f177ffbe24,75,1191,click,2016-06-18 12:25:46.719751,paid search,
663f3cb2-f6b1-47ea-98b3-75e9904d690b,27,6899,click,2022-02-04 22:09:15.527587,social media,
e3a87b3d-af79-4ebd-afba-dafe876807b0,99,431,click,2023-08-24 05:48:17.288886,social media,
ee02dbc8-1309-4bcf-a4f3-66ba6f382754,64,7066,click,2021-07-31 05:33:55.411568,paid search,
1413c278-016b-4e9a-8a4a-22afea07d65d,19,7120,click,2024-12-11 02:58:07.594986,paid search,
965f9188-2172-4d2e-ab4e-170892e21dfd,12,910,click,2023-12-04 03:00:46.801772,paid search,
f9de8caa-b3cc-4e3f-82aa-86d68ebb03f1,73,7467,click,2024-04-10 23:06:40.010424,referral,
792949bd-123c-4554-8882-945920f468d8,53,1405,click,2013-08-02 22:06:41.161704,social media,
