subscription_id,subscription_date,end_date,n_meals,n_people,n_orders,food_choice
1,2020-06-22 11:23:36.525376,,4,2,3,meat
2,2015-06-09 17:43:56.962878,2015-10-08 17:43:56.962878,3,4,16,climate
3,2013-12-21 05:03:24.882563,2014-08-31 05:03:24.882563,2,4,13,veggie
4,2019-02-19 23:12:46.696114,2019-06-27 23:12:46.696114,2,2,14,meat
5,2021-12-25 16:16:45.432798,2022-03-25 16:16:45.432798,2,4,7,veggie
6,2019-10-03 12:31:47.458318,2020-05-19 12:31:47.458318,5,3,16,vegan
7,2017-04-01 03:33:51.587182,2017-08-06 03:33:51.587182,3,4,10,meat
8,2020-01-15 08:19:57.886575,,4,3,10,fish
9,2016-07-19 13:58:52.487613,2017-02-28 13:58:52.487613,4,2,16,veggie
10,2019-05-23 03:22:46.184300,2019-10-25 03:22:46.184300,3,3,11,veggie
11,2013-11-17 03:13:19.961268,2014-07-06 03:13:19.961268,5,2,25,fish
12,2013-12-22 10:50:49.887998,2014-03-17 10:50:49.887998,5,3,5,climate
13,2018-04-27 01:50:12.933117,,4,4,4,vegan
14,2024-03-09 15:53:40.026122,2024-09-26 15:53:40.026122,5,3,18,veggie
15,2020-04-03 01:28:23.073073,,3,4,8,veggie
16,2017-08-10 06:19:43.760453,,2,3,3,fish
17,2024-04-29 10:55:18.537278,2024-09-20 10:55:18.537278,5,4,9,climate
18,2020-04-02 12:08:10.610754,,5,2,8,climate
19,2017-12-01 18:17:58.639662,2018-10-10 18:17:58.639662,5,2,33,veggie
20,2015-08-01 05:58:39.816076,2016-02-17 05:58:39.816076,4,4,12,veggie
21,2020-05-02 12:15:05.481109,2020-10-18 12:15:05.481109,3,2,8,veggie
22,2019-10-18 14:40:43.862845,2020-01-05 14:40:43.862845,2,2,1,vegan
23,2019-10-09 07:56:02.290927,2020-03-31 07:56:02.290927,5,4,19,fish
24,2019-04-30 06:55:55.838266,2020-01-14 06:55:55.838266,5,4,37,veggie
25,2020-06-29 14:33:38.231332,2021-03-20 14:33:38.231332,5,2,1,climate
26,2021-11-29 05:51:55.001926,2022-06-23 05:51:55.001926,3,2,8,veggie
27,2024-05-15 23:48:10.056275,2024-09-17 23:48:10.056275,4,4,7,fish
28,2015-08-12 11:22:08.748138,2016-02-08 11:22:08.748138,2,2,18,climate
29,2024-01-07 19:28:52.376869,,3,2,2,veggie
30,2018-09-20 08:41:27.633499,2019-03-13 08:41:27.633499,4,3,15,vegan
31,2017-04-27 11:34:33.097738,2017-10-06 11:34:33.097738,3,3,17,vegan
32,2018-11-04 07:21:32.101541,2019-05-04 07:21:32.101541,5,4,12,vegan
33,2014-07-16 21:45:58.727494,2015-03-25 21:45:58.727494,4,2,26,climate
34,2024-02-25 23:06:19.131286,2024-09-29 23:06:19.131286,2,2,30,meat
35,2018-12-31 11:19:45.753665,2019-03-28 11:19:45.753665,3,2,9,vegan
36,2015-06-10 08:01:49.574048,,5,4,4,fish
37,2017-03-04 19:46:15.459640,2017-05-07 19:46:15.459640,3,4,2,fish
38,2013-03-29 10:25:40.028558,2013-11-13 10:25:40.028558,3,4,10,climate
39,2017-04-08 22:42:05.396057,2017-10-11 22:42:05.396057,3,3,24,climate
40,2018-10-25 15:13:39.679235,2019-03-10 15:13:39.679235,4,3,19,climate
41,2015-02-12 06:18:29.216970,2015-11-01 06:18:29.216970,3,3,20,vegan
42,2021-09-25 02:39:44.183311,2022-03-03 02:39:44.183311,5,3,14,veggie
43,2019-01-11 15:00:54.382732,2019-02-28 15:00:54.382732,2,2,4,climate
44,2020-01-31 10:53:10.836539,2020-07-17 10:53:10.836539,2,4,10,climate
45,2022-06-23 06:06:36.313253,,5,2,3,veggie
46,2019-03-10 11:02:26.414325,2019-07-24 11:02:26.414325,2,4,4,veggie
